Gene,n_guides,MERS-CoV T1015N,MERS-CoV,HKU5-SARS-CoV-1-S,VSV-SARS-CoV-2-S,SARS-CoV-2 Cas9-V2 Avg.
A1BG,4,-0.009031133,1.121372523,0.364666293,0.593081827,-0.658483144
A1CF,4,-0.041918567,-0.520937318,1.29381059,0.870485114,0.291824414
A2ML1,4,-1.413231932,-1.259392986,-1.211112896,-0.160369944,0.758145861
A3GALT2,4,-1.389358031,-0.555884867,-0.822647359,-1.623208245,0.460143637
A4GALT,4,-1.189411151,-0.129320489,0.515647868,-0.864302715,0.976356197
A4GNT,4,0.809348411,1.012801398,-0.115714578,-0.441422277,-1.085728525
AAAS,4,0.439905772,-0.473448268,-0.730762322,-1.586094331,-0.562700097
AACS,4,-0.601188897,-0.765952679,-0.997270565,-0.747033273,0.2527674
AADAC,4,1.036286856,0.904986019,-0.177682654,0.490332455,-0.650797259
AADACL2,4,0.210740557,0.210908288,-0.115423332,2.184457166,0.649995571
AADACL3,4,1.974464821,0.964167354,0.084666908,0.463405845,0.376535424
AADACL4,4,-0.085145364,0.544363427,-0.941791738,-0.890313328,0.240554526
AADAT,4,-0.411160742,-0.512075401,-1.73603738,-1.491645587,-1.905550843
AAGAB,4,-2.295874696,-2.261901906,-1.674286808,-0.33730255,-2.518051553
AAK1,4,1.34652573,0.854240785,0.05308986,0.312687226,-0.362239378
AAMDC,4,1.787606243,1.062811147,1.485921672,1.040249486,-0.001646385
AAMP,4,-0.450749775,-0.296516055,-0.276147172,-0.412685745,-1.303754501
AANAT,4,-0.801412231,-1.168329817,-1.146712211,-0.608594405,-0.452197339
AAR2,4,-0.143292992,-0.141739973,-0.665988502,-0.642765276,-1.271020991
AARD,4,-0.582388413,0.186939406,1.591328653,1.648303035,-0.30197324
AARS1,4,-0.513452809,-0.215641996,0.264974677,0.606920897,0.262972679
AARS2,4,-0.681341664,-0.474005839,-0.896720245,-1.495065335,-1.971245966
AASDH,4,-0.46336419,0.563639576,0.508684123,-0.088028887,0.452338444
AASDHPPT,4,-1.192731412,-1.50248027,-1.383319583,-1.745791384,-2.920444099
AASS,4,0.298671877,-0.761201511,0.326306817,-0.038606609,0.150326149
AATF,4,-0.390229047,-0.225225261,-0.38770273,-0.879822965,-1.600382704
AATK,4,0.154557716,1.400417262,0.769671008,-0.877371822,-0.606690434
ABAT,4,0.858705516,0.804176384,-0.413529555,-0.192722701,-0.573290363
ABCA1,4,1.744923219,0.199064392,0.8709329,2.284433989,-0.152571303
ABCA10,4,1.63723933,0.751820265,0.62982654,-0.148688231,-0.166002694
ABCA12,4,-1.551101695,-1.026463986,-0.106777888,0.21884848,-1.147291043
ABCA13,4,-1.176922852,-2.458292835,-1.349283073,-1.667252334,-0.785943549
ABCA2,4,-0.157027515,0.302871331,0.069427037,0.262855875,0.188748427
ABCA3,4,-1.64748195,0.783424624,-0.056270666,0.410112067,0.390282563
ABCA4,4,0.224996763,-0.260988039,-0.053047421,-0.916116012,-0.579451293
ABCA5,4,-1.371465511,-0.336854541,1.544858358,1.133697069,0.773014907
ABCA6,4,1.703841399,1.213408575,2.986426987,2.436210074,-0.188227263
ABCA7,4,-1.683499745,-0.062051762,-1.349051872,-0.339621426,-0.568145075
ABCA8,4,-1.549005332,-0.621000233,-1.716445273,-0.418997994,0.96019631
ABCA9,4,-0.828457943,0.015242059,1.60919777,1.793956783,1.6380007
ABCB1,4,1.440665293,1.345696722,0.73597326,1.18266819,0.255921983
ABCB10,4,-0.479214233,0.881395874,-1.147926396,0.356865967,0.350579812
ABCB11,4,-0.182947588,0.295260522,0.267208992,-0.751224951,0.03968575
ABCB4,4,-1.267573823,0.388664233,0.314096303,0.706073925,1.17483217
ABCB5,4,-0.131936338,-0.916121621,-1.705919708,0.460296894,0.551301528
ABCB6,4,-1.582066024,-1.916157591,-2.190867025,-0.137464186,0.931206083
ABCB7,4,-0.295690969,-0.471247249,0.228603678,0.010764963,-1.400161584
ABCB8,4,0.048302414,-0.740711867,-0.589871329,-1.692780667,-1.097864258
ABCB9,4,-0.88277499,-0.74773763,0.199884831,0.789527038,0.762494067
ABCC1,4,-0.545197184,-1.243877464,-1.234968201,0.246257847,0.787324744
ABCC10,4,-1.38552828,-1.704210331,-0.857557111,-1.450293335,-1.084991605
ABCC11,4,-1.069795905,0.373716091,-0.084754118,0.603867824,2.52675855
ABCC12,4,0.661767738,1.291502015,-0.027263581,-1.362221057,0.159787656
ABCC13,4,-0.695191056,-0.409029246,-0.831659367,-0.834680711,0.207348278
ABCC2,4,-1.644579568,-1.814418758,-1.621187318,-1.038160306,0.390619794
ABCC3,4,-0.327792419,0.483503648,-0.363040815,0.358546286,0.689957391
ABCC4,4,1.028897089,1.827710463,-0.055083348,-0.072968377,0.725421764
ABCC5,4,-0.197017712,0.427203458,-0.231072021,-1.139014007,-0.503277762
ABCC6,4,-0.563135938,-0.338806443,-1.367301001,-1.137783412,0.316859936
ABCC8,4,0.659156002,0.709164277,-0.455923756,0.493826995,0.619204418
ABCC9,4,0.314272629,0.117705713,0.315997643,0.149332682,0.659860798
ABCD1,4,0.989161842,-1.136819758,0.305004331,-0.152031503,-0.087487455
ABCD2,4,-0.75646175,-0.365359312,0.198815533,-0.423843396,1.128520049
ABCD3,4,0.805842832,-0.621475532,-1.005739165,-1.044347489,-0.337337947
ABCD4,4,0.919422961,0.278022583,0.556521932,0.026855964,0.545075607
ABCE1,4,-0.557687595,-0.917772431,-0.179448372,-0.932559661,-0.814099602
ABCF1,4,-0.90653035,-1.260708319,-0.810527198,-1.255660942,-0.849632751
ABCF2,4,-1.693489063,0.800045383,0.869265744,1.700647101,0.158146901
ABCF3,4,1.94301446,1.664209708,1.623016433,-0.910039733,0.694770151
ABCG1,4,2.256303172,0.834380244,-2.237143329,-1.53307952,0.510949535
ABCG2,4,-1.408980387,-0.911534803,-0.019191426,-0.85993075,1.02326068
ABCG4,8,-1.798784202,-0.108461266,1.08481942,0.865113002,1.527766114
ABCG5,4,-0.231070096,1.192479709,-0.008910597,1.019489323,0.130294207
ABCG8,4,-1.054938712,-1.134608974,-2.215588611,-2.230280439,-0.508820811
ABHD1,4,-0.035213481,0.068860596,-0.130493419,1.145088332,-0.654384598
ABHD10,4,0.023727761,0.843058372,-1.487478835,-1.442477053,-1.465066165
ABHD11,4,-1.617071091,-1.332191404,-1.111574854,-0.684703863,-0.53446079
ABHD12B,4,-0.079595807,-0.391925373,-0.497920623,-1.128197961,0.704835089
ABHD13,4,0.480383865,-0.173341712,2.177462484,1.927468394,0.314728343
ABHD14A,4,-0.508983662,-1.318607297,0.608504517,0.076346439,0.818820965
ABHD14B,4,-0.125854731,-1.145548727,-0.391470184,-0.245392362,-0.201088262
ABHD15,4,1.411090902,1.328224242,0.309183658,-0.034905889,0.491365556
ABHD16A,4,-0.58147917,-0.994133275,-0.807400534,-0.185976773,-0.635393197
ABHD16B,4,-0.177394471,-1.227504194,0.112871552,0.027762803,0.955935472
ABHD17A,4,0.291736429,0.232190938,-0.27262418,1.009222607,1.166526669
ABHD17B,4,0.467912937,-1.473088726,-0.890778364,-1.319111802,-0.428659549
ABHD17C,4,-8.28E-04,-0.104776702,0.903175245,0.370009382,-0.251375178
ABHD18,4,0.647980027,2.366039694,-0.558358,1.027079239,-0.183081407
ABHD2,4,-1.166193307,1.039950843,0.888235206,1.304945896,0.731099581
ABHD3,3,-0.876089885,-1.179145514,-0.33415009,-0.762686522,0.344342405
ABHD4,4,-0.58503508,-0.567558846,-1.65275962,-0.196818847,0.669318898
ABHD5,4,-0.764432557,-0.634625991,-2.436740406,-1.115124338,0.460088121
ABHD6,4,-0.358416711,-2.116696447,-0.826872747,-0.382121452,-0.032460832
ABHD8,4,2.482527851,2.502308502,1.097967932,1.113588552,-0.08301558
ABI1,3,-1.214864385,-1.428867483,-0.676819154,1.292075446,1.536252181
ABI2,4,-0.365770689,-0.509458846,-0.675462818,0.146703459,-0.688182477
ABI3,4,-0.696671307,0.01805471,1.468240461,0.093982707,0.079657592
ABI3BP,4,-0.427057066,-0.891792245,0.0985194,-0.539130565,0.078043617
ABITRAM,4,0.018316639,0.38840838,1.741074769,2.723258349,0.838725914
ABL1,4,-1.317088261,-0.700991056,-0.592147811,-1.395324516,-0.86370793
ABL2,4,0.321106443,0.011121751,-0.007308112,1.140846041,1.21737939
ABLIM1,4,-0.113347867,-0.614757139,-0.356438555,-0.855720105,-0.121549989
ABLIM2,4,-0.144701763,1.061189319,0.659945643,-1.884850471,0.354719449
ABLIM3,4,2.351961726,1.506117263,1.562652736,0.36089645,1.491072385
ABO,4,-0.240742206,-0.571990822,-0.561620688,-0.469200223,-1.191925353
ABR,4,-0.651959478,0.36502751,0.347772057,1.503484225,0.406409335
ABRA,4,0.828306629,0.59297764,0.912709769,0.903435409,-0.002644179
ABRACL,4,1.601187728,2.427080977,-0.192199214,-0.62477778,-0.657094269
ABRAXAS1,4,0.772315744,0.527672439,-0.040363489,-0.844092169,-0.944040818
ABRAXAS2,4,1.179638488,0.945084736,1.150105134,1.918209648,1.58505258
ABT1,4,1.657023604,0.47143343,0.999754185,0.598157604,0.060136051
ABTB1,4,-0.344787068,-0.471164357,-0.401779477,0.720412389,-0.578983735
ABTB2,4,0.056827946,0.407069461,2.083798485,2.089691317,-0.186182552
ACAA1,4,0.895030943,-0.082992344,0.836868376,1.231908684,-0.107686513
ACAA2,4,-0.034110715,-1.468145043,1.027839551,1.072838212,0.220025627
ACACA,4,-0.41790259,-1.176115692,-0.249501819,-1.173388039,-0.670952792
ACACB,4,-0.94606625,-0.977434272,0.148080845,0.47779281,1.086909113
ACAD10,4,0.213551055,-0.114858798,-0.289773976,-1.876417389,0.656194564
ACAD11,4,1.949434453,2.20356258,-0.996193154,0.133727803,-0.206739002
ACAD8,4,0.087642775,-0.642687411,-0.57365442,0.136376803,0.746876645
ACADL,4,1.336878248,1.556611523,2.216735613,1.730166612,0.335454212
ACADM,4,-0.633419664,-0.537145946,-0.958335251,-1.130981659,0.489317446
ACADS,4,1.229814436,1.389268373,-0.110754713,0.481222197,1.021155178
ACADSB,4,0.534919292,-0.892213028,-0.600210326,-0.666085462,-1.068851642
ACADVL,4,0.538447033,0.406080829,0.567967628,0.207506582,-0.258870898
ACAN,4,1.649836119,1.445968857,0.847494935,0.251295066,0.120019104
ACAP1,4,-0.285063525,-0.219752465,-0.180860426,-0.885358629,0.165525298
ACAP2,4,0.15081532,-0.238086586,0.433895595,0.266598477,0.356707971
ACAP3,4,1.655743847,1.917559919,2.131398411,2.655516483,0.463117211
ACAT1,4,-0.195250945,-0.478315239,1.774702359,0.741634499,0.557196666
ACAT2,4,-1.142558151,-1.975173237,0.183010685,0.363770701,0.571611153
ACBD3,4,-1.578338577,-1.812841251,0.032058983,-0.096468797,0.045856809
ACBD4,4,-1.392842481,-0.279721607,-0.983672298,-0.657697689,-0.31539683
ACBD5,4,1.263500939,0.703364364,-0.907747807,0.404040785,0.688896411
ACBD6,4,-1.475769289,-0.227779373,-0.540488875,-1.668439096,-1.031761149
ACBD7,4,1.811684391,0.453430986,0.288503322,1.414303507,0.902611052
ACCS,4,-0.065593377,-0.149319472,0.329504595,-0.548910636,0.177249176
ACCSL,4,-0.662867273,-1.048975135,-0.256061584,-0.633283161,-0.434614078
ACD,4,-0.569160422,-0.43010353,1.422901408,0.592824236,-1.200052601
ACE2,4,-0.129798897,-0.567520381,5.193494348,6.6043975,4.86593807
ACER2,4,-0.985609609,-0.770331312,-0.538478446,-0.257390907,1.482653033
ACER3,4,-0.036408044,0.244139131,0.560016025,0.487018986,1.883209704
ACHE,4,-0.244292829,-0.141825886,0.064715773,0.300581999,-1.322371714
ACIN1,4,-0.61579034,-1.122508903,-0.991437299,-1.886733188,-2.260705479
ACKR1,4,-1.463848705,0.301876407,1.312674301,0.128361415,-1.178729859
ACKR2,4,0.988411737,0.453530922,0.896587461,-1.19476929,1.499506707
ACKR3,4,-0.119113936,0.633942352,-1.267644974,-0.18392299,-0.002046987
ACKR4,4,1.374439948,0.712174468,-0.569742171,-0.804656451,0.938695245
ACLY,4,-1.680948233,-0.96468629,-0.647740965,-1.750749068,-0.976087401
ACMSD,4,-0.079982684,-0.972282637,0.496248053,1.454911408,-0.173057848
ACO1,4,-1.237202932,0.392401581,0.775505551,-1.218673639,0.24450856
ACO2,4,0.116600268,0.742293274,-0.464042429,0.554395894,0.947414985
ACOD1,4,0.756815241,0.329464413,1.301927381,0.180640003,0.213794473
ACOT11,4,-0.54551914,0.994561109,-0.671286256,-0.440930944,-0.052647291
ACOT12,4,-0.475979406,0.389949565,-1.331775069,-0.794751324,-0.574421866
ACOT13,4,-0.001117895,1.130646388,-1.913818294,-0.432899951,0.470997392
ACOT4,4,-0.914404378,-0.98844882,-1.613406483,-1.693970737,-1.529235634
ACOT6,4,-0.32437287,-0.535576534,-0.81881635,-1.059416819,0.036291444
ACOT7,4,-3.104640163,-1.31374586,-1.502310629,-1.313214551,-0.166435467
ACOT8,4,0.488982557,-0.764633893,-0.276478414,0.420011362,0.097106949
ACOT9,4,2.367603369,2.16851253,0.400839848,0.820434887,0.11654354
ACOX1,4,-0.678811142,0.11296025,0.001335944,0.673258045,-0.06075704
ACOX2,4,-1.845017125,0.105086024,0.239276338,-0.043830745,-0.365302706
ACOX3,4,1.025222569,2.129381737,-0.562044543,-0.914043854,-0.441340706
ACOXL,4,0.41495802,0.563118104,0.570359782,0.722421418,0.300609117
ACP1,4,0.153075363,-0.509783255,-1.346164225,-0.104433106,0.51202459
ACP2,4,-0.151542239,-0.204527724,0.234064537,0.702900136,-1.244486469
ACP3,4,-1.769518439,-0.682551911,-1.416520311,-0.599044305,-1.683649242
ACP4,3,-0.020349631,0.485067475,-0.077882596,-0.954800633,-0.465588914
ACP5,4,2.211779588,1.561388381,0.219249883,0.462826986,0.742467111
ACP6,4,1.335718564,1.351096458,0.999868228,0.938044388,0.056067995
ACP7,4,-1.252375202,-1.162637193,0.995728293,1.652006536,-0.164192684
ACR,4,-0.957883491,-1.168207235,-0.156182563,-0.139256052,-0.18939859
ACRBP,4,1.17802333,1.32050041,1.491382371,1.072644695,0.466946376
ACRV1,4,1.315509819,0.038249147,0.001799958,0.179841594,-0.229358867
ACSBG1,4,0.619258907,1.050316745,0.390186244,0.341744257,-0.201626572
ACSBG2,4,0.366203717,-0.949706342,-0.582520829,0.237690781,0.731366536
ACSF2,4,1.808027793,1.196591892,0.010911455,0.810085946,0.864052469
ACSF3,4,-1.06208103,0.773954014,1.119251159,1.032632887,1.193309344
ACSL1,4,-1.041474456,0.094542652,-0.670728686,-0.801022838,0.01602293
ACSL3,4,-0.471170466,-0.426842014,-1.209543541,-1.068797641,-0.097929525
ACSL4,4,0.707431616,-0.994146733,0.373677965,0.688740542,0.115284385
ACSL5,4,-0.749423199,-0.751277599,-0.516036468,-1.330959435,-0.462544215
ACSL6,4,0.617186916,0.607699522,0.961213487,0.129024522,-0.415116126
ACSM1,4,-0.090147173,-0.500439146,-0.487964647,0.692508856,-0.220675074
ACSM2B,4,-0.879255426,-1.218431438,0.032642874,-0.606895011,-0.328321102
ACSM3,4,1.265685293,0.682644356,-0.057554464,-1.493205574,-0.523258058
ACSM4,4,-0.69217632,0.417681882,1.03570695,0.818593417,0.764317557
ACSM5,4,-0.819330061,-0.756040489,-0.007443829,-0.201748626,0.774248883
ACSM6,4,-0.332347693,-0.858304145,0.072758238,2.084251097,0.924904132
ACSS1,4,0.931864285,0.48674346,-1.964560942,-1.184510655,-1.372213019
ACSS2,4,-1.173453598,-0.783780023,-1.022336551,-2.206899929,0.034412544
ACSS3,4,1.033168254,-0.303203762,-0.526352189,-1.201372542,-0.441744934
ACTA1,4,1.675522646,1.300084682,-0.291079144,0.439681796,1.919906492
ACTA2,4,0.789137162,0.796912795,0.550173903,0.758888197,1.145612252
ACTB,6,-0.090759056,1.819906888,-0.122985117,-0.184363391,0.006670154
ACTBL2,4,0.343049893,-1.22123309,-0.600463015,0.458453871,0.165585516
ACTC1,4,-0.426092716,0.101961868,-0.389421808,0.073762704,-0.183569024
ACTG1,8,-0.886539603,-1.106442023,-0.960639365,-0.482799771,-1.173160943
ACTG2,4,1.733455503,1.699637234,1.849067391,2.225897437,0.332914712
ACTL10,4,-0.384992697,-0.015725163,-1.043549084,0.005663563,0.903942541
ACTL6A,4,-1.112273823,-0.837883792,1.907053269,0.618709819,0.739891427
ACTL6B,4,-0.0632527,0.669291041,0.436327585,1.226429157,-0.446048644
ACTL7A,4,-0.851193126,-0.500053457,0.805243809,-0.08775486,0.499625605
ACTL7B,4,-0.549877161,-1.722256094,-1.196210803,-0.070318777,-0.346972849
ACTL8,4,1.730750108,1.514772692,1.031819905,1.872184524,0.786866809
ACTL9,4,0.593295171,1.014839898,1.505972888,1.548947286,0.947402315
ACTN1,4,-0.699591654,-0.467354336,-0.653833723,-1.096793293,-0.923030024
ACTN2,4,0.644112079,0.655301645,-2.093011109,-0.480438939,-1.098823434
ACTN4,4,-0.005908961,0.979534495,0.35766873,0.930994832,0.921448066
ACTR10,4,0.296152826,0.422469163,-0.040791156,-0.072487822,-1.716334821
ACTR1A,4,-0.326828975,-0.746426633,0.132626227,-0.770501379,-0.16628111
ACTR1B,4,0.406257911,-0.013909035,1.673716203,0.733119227,-0.507516948
ACTR2,4,-0.658684834,-0.691277279,-0.825817199,-0.25917062,-1.378831063
ACTR3,4,-1.016841365,-0.696851653,0.54693965,0.253434154,-0.266313666
ACTR3B,4,-0.324471594,-0.068530762,1.196488685,-0.055222048,0.499518968
ACTR5,4,0.227372239,-0.775098253,0.107804028,0.028866905,-1.693456202
ACTR6,4,-0.375200298,-0.770958737,-0.457478441,1.041005662,-3.102130047
ACTR8,4,0.033692653,0.092422915,-0.142325094,-0.358232154,-0.480712409
ACTRT2,4,-0.158702967,0.967525199,-0.153672408,0.421207967,0.636913409
ACTRT3,4,-0.637662384,-0.112853737,0.793478424,0.551538141,-0.267802394
ACVR1,4,1.47464666,-0.106855991,2.461266395,1.611478715,0.686503854
